0,1,2,3,4,5
-20.5078125,-83.49609375,-398.4375,67.3828125,-20.99609375,0
-18.06640625,-96.6796875,-343.75,-41.015625,13.671875,0
14.16015625,-76.171875,-303.7109375,-141.6015625,-123.046875,0
28.80859375,2.44140625,-358.88671875,-22.94921875,-13.18359375,0
-10.25390625,-48.33984375,-406.73828125,61.5234375,130.859375,0
-34.1796875,-125.0,-451.171875,-2.9296875,371.58203125,0
-36.62109375,-41.9921875,-286.1328125,-130.859375,174.31640625,0
-24.90234375,-39.0625,-228.02734375,-65.4296875,-206.0546875,0
15.13671875,-33.203125,-309.5703125,127.9296875,-60.05859375,0
-0.48828125,-13.671875,-315.91796875,78.125,1.46484375,0
-23.92578125,-62.98828125,-292.96875,-117.1875,-245.1171875,0
-31.73828125,-123.046875,-314.94140625,-116.69921875,-385.7421875,0
-40.0390625,-107.91015625,-278.3203125,35.15625,-167.96875,0
-19.04296875,-59.08203125,-216.30859375,37.59765625,-68.359375,0
-27.83203125,-56.640625,-309.08203125,-87.40234375,-108.88671875,0
-25.390625,-27.83203125,-326.66015625,-163.57421875,-222.65625,0
-30.2734375,-41.9921875,-348.6328125,-30.2734375,106.4453125,0
-22.4609375,-43.45703125,-355.95703125,89.35546875,649.4140625,0
5.859375,0.0,-147.4609375,23.4375,276.85546875,0
-26.3671875,-8.30078125,-233.88671875,-121.58203125,-187.5,0
-47.36328125,-78.125,-373.046875,-58.59375,-20.5078125,0
-32.71484375,-90.33203125,-345.703125,79.58984375,54.6875,0
-29.78515625,-46.875,-388.671875,55.17578125,-58.10546875,0
-32.2265625,-55.17578125,-441.40625,-129.8828125,-145.5078125,0
-20.01953125,-54.19921875,-388.18359375,-157.2265625,-147.94921875,0
-25.390625,-27.83203125,-369.62890625,2.9296875,-55.17578125,0
-21.484375,-14.6484375,-428.7109375,51.7578125,-66.89453125,0
-51.7578125,-99.609375,-490.234375,-65.91796875,-14.6484375,0
-83.984375,-131.8359375,-424.31640625,-133.7890625,173.828125,0
-65.4296875,-66.40625,-314.453125,5.37109375,115.72265625,0
-24.4140625,0.48828125,-296.38671875,80.078125,-61.5234375,0
-1.953125,-47.36328125,-426.7578125,11.71875,18.06640625,0
